ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1328,Madisonville Recreation Center,Community Center,2025,"12/02/2025, 12/2/2025","Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",5320 Stewart Ave,Cincinnati,OH,45227,-84.3968043,39.16524583,,CN DST Workshops,,,,,
1329,Magoffin County Library,Public Library,2023,,,172 S Church St,Salyersville,KY,41465,-83.068075,37.7500678,5,CN DST Workshops,,,,,
1330,Magoffin County Senior Center,Senior Center,"2023, 2024",,,88 S Church Street ,Salyersville,KY,41465,-83.06851044,37.75135719,50,CN DST Workshops,,,,,
1331,Main Room Events,Bussiness ,2023,,,301 S Ochoa Street,El Paso,TX,79901,-106.4811649,31.75731804,12,CN DST Workshops,,,,,
1332,Makersville Services,Non-Profit,"2023, 2024",,,5875 Appian Way,Long Beach,CA,90803,-118.1144331,33.75264899,310,Teens Teach Teach,,,,,
1333,Marfa Nutrition Center,Non-Profit,2023,,,101 N Mesa St.,Marfa,TX,79843,-104.0286611,30.30953323,63,CN DST Workshops,,,,,
1334,Marie Redd Senior Life,Senior Center,2025,,,1750 9th Ave.  ,Huntington,WV,25703,-82.4246103,38.41666107,18,CN DST Workshops,,,,,
1335,Marquette Senior Center,Senior Center,2025,,,300 W. Spring Street,Marquette,MI,49855,-87.39695875,46.54216554,,CN DST Workshops,,,,,
1336,Marshall County High School FBLA,School Club,2024,,,416 High School Rd,Benton,KY,42025,-88.33242384,36.91414638,212,Teens Teach Teach,,,,,
1337,Martin Area Senior Center,Senior Center,2024,,,11414 Main Street ,Martin,KY,41649,-82.75222487,37.57394081,14,CN DST Workshops,,,,,
1338,Mary Wood Weldon Memorial Library,Public Library,2023,,,1530 S Green St. ,Glasgow,KY,42141,-85.92890716,36.98337599,8,CN DST Workshops,,,,,
1339,Mason County District Libraries (Ludington Branch),Government,2023,,,217 East Ludington Ave.,Ludington,MI,49431,-86.44537279,43.9556109,21,CN DST Workshops,,,,,
1340,Mason County District Libraries (Scottville Branch),Government,2023,,,204 E. State Street,Scottville,MI,49454,-86.27764873,43.95482372,11,CN DST Workshops,,,,,
1341,Mason County Senior and Community Services Center,Senior Center,2025,,,1679 Forest Avenue Maysville,Maysville,KY,41056,-83.72578484,38.63660959,39,CN DST Workshops,,,,,
1342,Maverick County,Government ,2022,,,500 E San Antonio Street,Eagle Pass,TX,78852,-100.3164346,28.51804595,,Community Planning,https://connectednation.org/community-engagements/maverick-county-texas,,,,
1343,Maysville KY Career Center,Workforce Development,2023,,,201 Government St,Maysville,KY,41056,-83.76101272,38.64605201,7,CN DST Workshops,,,,,
1344,McCracken County Senior Center,Senior Center,2023,,,1400 H C Mathis Dr,Paducah,KY,42001,-88.63301414,37.08976959,17,CN DST Workshops,,,,,
1345,McCreary County Library,Public Library,2023,,,6 Main St,Whitley City,KY,42653,-84.46992962,36.72414988,15,CN DST Workshops,,,,,
1346,McCreary County Senior Center,Senior Center,"2023, 2024",,,401 US Hwy 27,Whitley City,KY,42653,-84.46900634,36.72859785,70,CN DST Workshops,,,,,
1347,McDowell Senior Center,Senior Center,"2023, 2024",,,8954 KY Route 122,McDowell,KY,41651,-82.75422227,37.47040136,40,CN DST Workshops,,,,,
1348,McKee Manor Senior Living,Senior Center,"2023, 2024",,,106 McKee Manor Dr,McKee,KY,40447,-83.9837535,37.4309353,34,CN DST Workshops,,,,,
1349,McKee Public Library,Public Library,2024,,,338 N Main Street ,Calhoun,KY,42327,-87.25828617,37.53868852,14,CN DST Workshops,,,,,
1350,McKee Senior Citizen Center,Senior Center,"2023, 2024",,,110 McCammon Ridge Road,McKee,KY,40447,-83.98792234,37.42944296,28,CN DST Workshops,,,,,
1351,McLean County Fiscal Court,Government,2023,,,297 Main Street,McKee ,KY,11968,-83.99931914,37.4301732,22,CN DST Workshops,,,,,
1352,Mega Social Enterprise,Workforce Development,,,,,Gainsville,FL,,-82.3250209,29.6519756,,Teens Teach Teach,,,,,
1353,Menasha Joint School District -  FBLA,School Club,"204, 2025",,,420 7th St,Menasha,WI,54952,-88.44748457,44.21068902,448,Teens Teach Teach,https://www.facebook.com/menashaschools/posts/menasha-fbla-is-excited-to-announce-a-new-program-funded-by-att-that-will-allow-/946793184132045/,,,,
1354,Mercer County Public Library,Public Library,2023,,,109 W Lexington St,Harrodsburg,KY,40330,-84.84378605,37.76238677,11,CN DST Workshops,,,,,
1355,Mercer County Senior Citizen Center,Senior Center,2024,,,1475 Louisville Road,Harrodsburg,KY,40330,-84.84717846,37.79700067,24,CN DST Workshops,,,,,
1356,Mercy Housing,Housing Shelter,2023,,,6930 Martin Luther King Jr Way S,Seattle,WA,98118,-122.2822697,47.53969703,73,CN DST Workshops,,,,,
1357,Mexican Consulate ,Government,2023,,,319 W 21 De Marzo St,Presidio,TX,79845,-104.3760043,29.56986356,9,CN DST Workshops,,,,,
1358,Michigan Works West Central - Newaygo,Workforce Development,2024,,,9075 S. Mason Dr.,Newaygo,MI,49337,-85.80082924,43.38983357,12,CN DST Workshops,https://www.youtube.com/watch?v=aJb1gVk02Hk,,,,
1359,Michigan Works West Central - Shelby,Workforce Development,,,,195 N Michigan Ave,Shelby,MI,49455,-86.36392416,43.61188657,12,CN DST Workshops,,,,,
1360,Michigan Works! West Central (Baldwin),Workforce Development,2023,,,5252 M-37,Baldwin,MI,49304,-85.85151272,43.87024647,14,CN DST Workshops,,,,,
1361,Michigan Works! West Central (Big Rapids),Workforce Development,2023,,,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,137,CN DST Workshops,,,,,
1362,Michigan Works! West Central (Ludington),Workforce Development,2023,,,920 E. Tinkham Ave.,Ludington,MI,49431,-86.43171104,43.9632754,12,CN DST Workshops,,,,,
1363,Michigan Works! West Central (Reed City),Workforce Development,2023,,,240 East Church St.,Reed City,MI,49677,-85.50672611,43.86957272,12,CN DST Workshops,,,,,
1364,Midland Community School - FBLA,School Club,2024,,,"106 West Webster Street,",Wyoming,IA,52362,-91.0062611,42.05981505,20,Teens Teach Teach,,,,,
1365,Midland Library at the Plaza (Downtown),Public Library,2023,,,301 W. Missouri Ave.,Midland,TX,79701,-102.0771524,31.99637465,16,CN DST Workshops,,,,,
1366,Midland Senior Citizen Center,Senior Center,2025,,,3303 W Illinois Ave Suite 18,Midland,TX,79703,-102.1185655,31.99103919,54,CN DST Workshops,,,,,
1367,Mid-Michigan College (Harrison Campus),School,2022,,,1375 South Clare Ave.,Harrison,MI,48625,-84.76776395,43.96768566,19,CN DST Workshops,,,,,
1368,Mid-Michigan College (Mt. Pleasant Campus),School,2022,,,2600 South Summerton,Mt. Pleasant,MI,48858,-84.72762989,43.60271627,19,CN DST Workshops,,,,,
1369,Milam County,Government ,2021,,,102 S Fannin Avenue,Cameron,TX,76520,-96.97578129,30.84961806,,Community Planning,https://connectednation.org/community-engagements/milam-county-texas,,,,
1370,Milton Center,Non-Profit,2025,,,1032 Church Street,Milton,WV,25541,-82.13387342,38.43559076,42,CN DST Workshops,,,,,
1371,Mineral Point High School,School,2024,,,705 Ross St,Mineral Point,WI,53565,-90.19591161,42.86411243,952,Teens Teach Teach,,,,,
1372,Mississippi State Valley -  University Upward Bound,School,2023,,,14150 Highway 82 West,Itta Bena,MS,38941,-90.31759724,33.52555985,355,Teens Teach Teach,,,,,
1373,Monarch Pointe,Housing Shelter,2023,,,1860 West St,Anaheim,CA,92801,-117.9239065,33.80109727,62,Teens Teach Teach,,,,,
1374,Monroe County Senior Center,Senior Center,2024,,,800 Cap Harlin Road,Tompkinsville,KY,42167,-85.6967017,36.706917,18,CN DST Workshops,,,,,
1375,Monroe County Senior Citizens and Friends,Government,2025,,,144 South College Street,Madisonville,TN,37354,-84.36362982,35.51813089,,CN DST Workshops,,,,,
1376,Montgomery Co. ATC FBLA,School Club,2024,,,682 Woodford Dr.,Mt. Sterling,KY,40353,-83.94068645,38.04529297,72,Teens Teach Teach,,,,,
1377,Montgomery Community Center,Community Center,2024,,,302 W Main Street,Mt. Sterling,KY,40353,-83.94790419,38.05458699,28,CN DST Workshops,,,,,
1378,Morehead KY Career Center,Workforce Development,2023,,,1225 US-60 Suite 106,Morehead,KY,40351,-83.44458917,38.16628197,7,CN DST Workshops,,,,,
1379,Morgan County Public Library,Public Library,2023,,,151 University Dr,West Liberty,KY,41472,-83.28860531,37.89951839,6,CN DST Workshops,,,,,
1380,Morgan County Senior Citizens Center ,Senior Center,2023,,,493 Riverside Dr B,West Liberty,KY,41472,-83.26151692,37.92030442,15,CN DST Workshops,,,,,
1381,Morgantown Senior Center,Senior Center,2024,,,104 N Warren St Suite B2 C1,Morgantown,KY,42261,-86.68263488,37.22490728,10,CN DST Workshops,,,,,
1382,Morris County,Government ,2021,,,500 W 1st Street,Daingerfield,TX,75638,-94.63683924,32.99935809,,Community Planning,https://connectednation.org/community-engagements/morris-county-texas,,,,
1383,Morristown Senior Center ,Senior Center,2025,,,841 Lincoln Ave,Morristown,TN,37813,-83.29593788,36.19882521,36,CN DST Workshops,https://www.youtube.com/watch?v=UHHQmUpfQpQ,,,,
1384,Mount Rainier DECA,School Club,2025,,,22450 19th Ave.,Des Moines,WA,98198,-122.3091045,47.39987276,6,Teens Teach Teach,,,,,
1385,Mountain Home Public Library,Public Library,2024,,,790 N. 10th East,Mountain Home,ID,83647,-115.6874966,43.13718172,201,Teens Teach Teach,,,,,
1386,Mt Sterling Public Library,Public Library,2023,,,328 N Maysville St,Mt Sterling,KY,40353,-83.94420902,38.06223443,8,CN DST Workshops,,,,,
1387,Mt. Juliet Activity Center ,Non-Profit,2025,,,2034 N Mt Juliet Rd,Mt. Juliet,TN,37122,-86.51925382,36.19814853,105,CN DST Workshops,,,,,
1388,Mud Creek Senior Center ,Senior Center,2025,,,5420 Ky. Rt. 680,Grethel,KY,41631,-82.6573563,37.46089666,30,CN DST Workshops,,,,,
1389,Muhlenberg County Senior Center,Senior Center,2024,,,1010 Medical Center Drive,Powderly,KY,42345,-87.15985661,37.22746682,52,CN DST Workshops,,,,,
1390,Multicultural Development Center of Iowa,Non-Profit,2023,,,136 S Dubuque St,Iowa City,IA,52245,-91.53307327,41.65911017,95,Teens Teach Teach,,,,,
1391,Nacogdoches County,Government ,2021,,,101 W Main St,Nacogdoches,TX,75961,-94.65637063,31.60406512,,Community Planning,https://connectednation.org/community-engagements/Nacogdoches-County-texas,,,,
1392,Negaunee Senior Center,Senior Center,2025,,,410 Jackson St.,Negaunee,MI,49866,-87.61346953,46.49949899,,CN DST Workshops,,,,,
1393,NEMCOG - Michigan Works NE Consortium-Alpena,Non-Profit,2024,,,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,71,CN DST Workshops,,,,,
1394,NEMCOG - Michigan Works NE Consortium-Gaylord,Non-Profit,2024,,,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,37,CN DST Workshops,,,,,
1395,New Hope Counseling Center,Non-Profit,2023,,,60 Bennett Cir,London,KY,40741,-84.08898042,37.12375657,8,CN DST Workshops,,,,,
1396,New Manchester High School FBLA,School Club,2024,,,4925 GA-92,Douglasville,GA,30135,-84.66430788,33.67525775,363,Teens Teach Teach,,,,,
1397,New Vision Recovery Center,Rehabilitation Center,2025,,,1390 W Main St.,West Liberty,KY,41472,-83.28205871,37.90138977,24,CN DST Workshops,,,,,
1398,Newton County,Government ,2021,,,112 W Court Street,Newton,TX,75966,-93.76164832,30.84816573,,Community Planning,https://connectednation.org/community-engagements/newton-county-texas,,,,
1399,NGR Women's Commitment House,Rehabilitation Center,"2024, 2025",,,725 New Glendale Road,Elizabethtown,KY,42701,-85.86072012,37.67389319,44,CN DST Workshops,,,,,
1400,Nisqually Middle School HOSA,School Club,2025,,,8100 Steilacoom Rd. SE,Lacey,WA,98503,-122.7666422,47.04634822,126,Teens Teach Teach,,,,,
1401,Northside Senior Center,Senior Center,2025,,,1225 Adams Ave,Odessa,TX,79761,-102.3681792,31.85853635,28,CN DST Workshops,,,,,
1402,TECHquity Teens,School Club,"2023, 2024",,,,Saginaw,MI,48602,-83.9722787,43.4257864,411,Teens Teach Teach,,,,,
1403,Oak Hill Collaborative,Non-Profit,2023,,,507 Oak Hill Ave.,Youngstown,OH,44502,-80.65953999,41.09433455,15,CN DST Workshops,,,,,
1404,Oak Park Public Library,Public Library,"2023, 2024",,,834 Lake St.,Oak Park,IL,60302,-87.79651261,41.88871908,86,CN DST Workshops,https://www.youtube.com/watch?v=zEreRN03n9g,,,,
1405,Oak Ridge Computer Science Girls,School-Affiliated Club,2024,,,,Clinton,TN,37748,-84.5327456,35.9343189,39,Teens Teach Teach,https://connectednation.org/blog/spotlight-kristen-moor-inspiring-the-next-generation-through-digital-literacy,https://www.instagram.com/p/DGMAipoSXwg/?utm_source=ig_web_button_share_sheet,,,
1406,Oakland Genesis,School Club,2025,,,4445 Davenport Ave.,Oakland,CA,94619,-122.184001,37.79067866,15,Teens Teach Teach,,,,,
1407,Ohio County Senior Center,Senior Center,"2023, 2024",,,2320 KY 69,Beaver Dam,KY,42320,-86.92893612,37.42613418,86,CN DST Workshops,,,,,
1408,OLP Catholic Church,Place of Worship,2023,,,406 S 6th St.,Alpine,TX,79830,-103.6609899,30.35403364,37,CN DST Workshops,,,,,
1409,Onedia Senior Center,Senior Center,2025,,,102 S Main Street,Oneida,TN,37841,-84.51270306,36.50162737,48,CN DST Workshops,,,,,
1410,Operation Liberty Hill ,Food Bank,2023,,,1401 Hwy 183,Leander,TX,78641,-97.86674265,30.63490409,12,CN DST Workshops,,,,,
1411,Operation Making A Change,Non-Profit,2025,,,540 E. 3rd St.,Lexington,KY,40508,-84.48387518,38.04360326,62,Teens Teach Teach,,,,,
1412,Orange County,Government ,2022,,,123 S 6th St,Orange,TX,77630,-93.73520232,30.09010758,,Community Planning,https://connectednation.org/community-engagements/Orange-County-texas,,,,
1413,Overton County Senior Center,Senior Center,2025,,,1513 Bradford Hicks Drive,Livingston,TN,38570,-85.3347816,36.38492353,27,CN DST Workshops,,,,,
1414,Owen County Senior Center ,Senior Center,2025,,,118 N Main St,Owenton,KY,40359,-84.83601846,38.536789,,CN DST Workshops,,,,,
1415,Owsley County Library,Public Library,2023,,,185 New Hwy. 11,Booneville,KY,41314,-83.6815819,37.47671578,17,CN DST Workshops,,,,,
1416,Owsley County Senior Citizen Center,Senior Center,2023,,,275 Highway 28 South,Booneville,KY,41314,-83.67011677,37.47503342,10,CN DST Workshops,,,,,
1417,Owsley County Senior Retirement Center,Senior Center,2024,,,KY-11,Booneville,KY,41314,-83.69059065,37.47870659,24,CN DST Workshops,,,,,
1418,Park Place Recovery Center,Rehabilitation Center,2024,,,49 Hillview Drive,Scottsville,KY,42164,-86.19930232,36.74729202,32,CN DST Workshops,,,,,
1419,Paul Sawyier Public Library,Public Library,2023,,,319 Wapping St,Frankfort,KY,40601,-84.87971584,38.19783946,19,CN DST Workshops,,,,,
1420,Pendleton County Senior Center,Senior Center,2024,,,111 Chipman Street,Falmouth,KY,41040,-84.3259152,38.66202651,18,CN DST Workshops,,,,,
1421,Pennsylvania Ave Golden Age Center,Non-Profit,2025,,,425 Pennsylvania Ave.,Savannah,GA,31404,-81.05991215,32.06262421,54,CN DST Workshops,,,,,
1422,Pentwater Township Library,Public Library,2023,,,402 Park St,Pentwater,MI,49449,-86.42800683,43.78358483,5,CN DST Workshops,,,,,
1423,Perry County Library,Public Library,2023,,,289 Black Gold Blvd,Hazard,KY,41701,-83.20543369,37.25086725,6,CN DST Workshops,,,,,
1424,Phoenix Indian Center,Non-Profit,2024,,,4041 N. Central Ave. Bldg. B,Phoenix,AZ,85012,-112.0736818,33.49459882,127,Teens Teach Teach,,,,,
1425,Pickford Community Library,Public Library,2023,,,137 E Main St,Pickford,MI,49774,-84.36228302,46.15801602,18,CN DST Workshops,,,,,
1426,Pine Forest High School,School,2024,,,2850 State Route 903,Fayetteville,NC,18210,-75.5881209,41.02072557,242,Teens Teach Teach,,,,,
1427,Pooler Senior Center,Senior Center,2025,,,955 Plantation Dr,Pooler,GA,31322,-81.26462991,32.12867218,56,CN DST Workshops,,,,,
1428,Port Wentworth Neighborhood Center (Ed Young Center),Community Center,2025,,,103 Turnberry St. ,Port Wentworth,GA,31407,-81.16127283,32.14977991,32,CN DST Workshops,,,,,
1429,Portland Senior Center,Senior Center,2025,,,108 Main Street,Portland,TN,37148,-86.51553518,36.58049018,,CN DST Workshops,,,,,
1430,Powell County Senior Center,Senior Center,"2023, 2024",,,551 Furnace Road,Stanton,KY,40380,-83.85662028,37.83755989,48,CN DST Workshops,,,,,
1431,Presidio County,Government ,2021,,,300 N Highland Ave,Marfa,TX,79843,-104.0212341,30.31322569,,Community Planning,https://connectednation.org/community-engagements/Presidio-County-texas,,,,
1432,Presidio Texas Country Club - TX,School Club,2025,,,410 Belmont,Presidio,TX,79845,-104.3796347,29.56484498,22,CN DST Workshops,,,,,
1433,Prestonsburg Senior Citizen Center,Senior Center,"2023, 2024",,,76 Patsy Evans Drive,Prestonsburg,KY,41653,-82.73088671,37.66986179,47,CN DST Workshops,,,,,
1434,Priddy Foundation - Carnegie City-County Library,Public Library,2024,,,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,39,CN DST Workshops,,,,,
1435,Pride Community Services,Non-Profit,2025,,,699 East Stratton St,Logan,WV,25601,-81.98099991,37.84322502,66,CN DST Workshops,,,,,
1436,Project Recovery ,Rehabilitation Center,2023,,,,Harlen,KY,40831,-83.3200999,36.8256576,19,CN DST Workshops,,,,,
1437,Pulaski County Community Center,Community Center,2024,,,125 E University Drive,Somerset,KY,42501,-84.61072455,37.10662241,50,CN DST Workshops,,,,,
1438,Pulaski County Library,Public Library,2023,,,304 S Main St,Somerset,KY,42501,-84.60387444,37.08997846,82,CN DST Workshops,,,,,
1439,Pure Broadband,Business,2023,,,3308 Glade St,Muskegon,MI,49444,-86.2597967,43.19339047,1043,Teens Teach Teach,,,,,
1440,Quest Adult Day Health Center,Non-Profit,2023,,,619 Danville Ave ,Stanford,KY,40484,-84.67060018,37.54144638,12,CN DST Workshops,,,,,
1441,Radcliff Community Center,Community Center,2024,,,230 Freedom Way,Radcliff,KY,40160,-85.94542814,37.83937308,30,CN DST Workshops,,,,,
1442,Rains County,Government ,2021,,,200 W Kaufman St,Emory,TX,75440,-95.7330559,32.891494,,Community Planning,https://connectednation.org/community-engagements/Rains-County-texas,,,,
1443,Ranger Senior Center,Senior Center,2025,,,69 Vanatters Creek,Ranger,WV,25557,-82.20260888,38.16216964,18,CN DST Workshops,,,,,
1444,Ransom District Library,Public Library,"2022, 2023",,,180 S. Sherwood Ave.,Plainwell,MI,49080,-85.63471836,42.44219932,25,CN DST Workshops,,,,,
1445,Recovery Plus Treatment Center,Rehabilitation Center,2024,,,336 E Center St,Madisonville,KY,42431,-87.49282905,37.32756338,23,CN DST Workshops,,,,,
1446,Recovery Point of Huntington,Rehabilitation Center,2025,,,2425 9th Ave,Huntington,WV,25703,-82.41299935,38.41865517,88,CN DST Workshops,,,,,
1447,Recovery Works,Rehabilitation Center,2024,,,300 Carrera Drive,London,KY,40741,-84.12526484,37.14600671,48,CN DST Workshops,,,,,
1448,Red River County,Government ,2022,,,100 N Walnut St,Clarksville,TX,75426,-95.05063231,33.61113338,,Community Planning,https://connectednation.org/community-engagements/Red-River-County-texas,,,,
1449,Reeves County Library,Public Library,2024,,,315 S. Oak St.,Pecos,TX,79772,-103.4951822,31.42498983,16,CN DST Workshops,,,,,
1450,Refugio County,Government ,2021,,,808 Commerce Street,Refugio,TX,78377,-97.27556048,28.29658843,,Community Planning,https://connectednation.org/community-engagements/refugio-county-texas,,,,
1451,Renton High School DECA,School,2025,,,400 S 2nd St.,Renton,WA,98057,-122.211521,47.48129905,83,Teens Teach Teach,https://connectednation.org/blog/reversing-roles-students-teach-their-school-staff-about-the-importance-of-cybersecurity,,,,
1452,Retirement Housing Foundation,Non-Profit,2024,,,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,29,CN DST Workshops,,,,,
1453,Revived Essence Recovery Center,Rehabilitation Center,2024,,,3620 Flemingsburg Road,Morehead,KY,40351,-83.47944716,38.21407407,12,CN DST Workshops,,,,,
1454,Richmond Active Center,Non-Profit,2024,,,121 S Ct St.,Ripley,WV,25271,-81.71187402,38.81770354,30,CN DST Workshops,,,,,
1455,Rio Grande COG - Jeff Davis County Library,Public Library,2023,,,100 Memorial Square,Fort Davis,TX,79734,-103.8937235,30.5885709,9,CN DST Workshops,,,,,
1456,Rio Grande COG - Marfa Public Library,Public Library,2023,,,115 E. Oak St.,Ripley,WV,25271,-81.71713144,38.82145692,6,CN DST Workshops,,,,,
1457,Rio Grande COG - Presidio Public Library,Public Library,2023,,,1200 E. O'Reilly Street,Presidio,TX,79845,-104.3526893,29.56071123,6,CN DST Workshops,,,,,
1458,Rio Grande Council of Government - Alpine Public Library,Public Library,2023,,,805 W. Ave. E.,Alpine,TX,79830,-103.6692662,30.35630078,8,CN DST Workshops,,,,,
1459,Ripley Senior Center ,Senior Center,2025,,,121 S Ct St.� Ripley,Marfa,TX,79843,-104.0363153,30.2756047,93,CN DST Workshops,,,,,
1460,Riverdale Middle School FBLA,School Club,2024,,,400 Roberts Dr.,Riverdale,GA,30274,-84.40581653,33.56366293,75,Teens Teach Teach,,,,,
1461,Robert Lee ISD,School,2024,,,1323 Hamilton St.,Robert Lee,TX,76945,-100.4862637,31.90120908,218,Teens Teach Teach,,,,,
1462,Robertson County Community Center,Community Center,2025,,,69 McDowell Street,Mount Olivet,KY,41064,-84.04087777,38.53338708,45,CN DST Workshops,,,,,
1463,Robertson County Senior Center,Senior Center,2025,,,601 Locust St,Springfield,TN,37172,-86.88629669,36.50863133,,CN DST Workshops,,,,,
1464,Rockcastle County Public Library,Public Library,2023,,,60 Ford Dr,Mt Vernon,KY,40456,-84.336395,37.35013317,5,CN DST Workshops,,,,,
1465,Rockcastle Senior Citizen Center,Senior Center,2023,,,11 Old US Hwy 25,Mt Vernon,KY,40456,-84.3297141,37.35224673,10,CN DST Workshops,,,,,
1466,Rowan County Senior Center,Senior Center,"2023, 2024, 2025",,,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,247,CN DST Workshops,,,,,
1467,Russell County Library,Public Library,2023,,,535 N Main St,Jamestown,KY,42629,-85.06862868,36.99133654,10,CN DST Workshops,,,,,
1468,Russell County Senior Center,Senior Center,"2023, 2025",,,132 Brian Walters Drive,Russell Springs,KY,42642,-85.07242784,37.02450545,78,CN DST Workshops,,,,,
1469,Saint Ann's Retirement Center,Non-Profit,2025,,,7501 W Britton Rd,Oklahoma City,OK,73132,-97.64662146,35.56566756,,CN DST Workshops,,,,,
1470,Saint Clair Senior Center,Senior Center,2025,,,325 St Clair St.,Murfreesboro,TN,37130,-86.39391712,35.85297451,48,CN DST Workshops,,,,,
1471,Salt Rock Senior Center,Senior Center,2025,,,5490 Rt 10,Salt Rock,WV,25559,-82.22247307,38.32367634,74,CN DST Workshops,,,,,
1472,San Augustine County,Government ,2021,,,100 W Columbia St,San Augustine,TX,75972,-94.10941935,31.53033916,,Community Planning,https://connectednation.org/community-engagements/San-Augustine-County-texas,,,,
1473,San Saba County,Government ,2021,,,500 E Wallace Street,San Saba,TX,76877,-98.71698698,31.19581904,,Community Planning,https://connectednation.org/community-engagements/san-saba-county-texas,,,,
1474,Sanger West STEM,School Club,2023,,,1760 S. Fowler St,Fresno,CA,93727,-119.6819969,36.71100274,9,Teens Teach Teach,,,,,
1475,Scott County Senior Center,Senior Center,"2023, 2024",,,816 Cincinnati Road,Georgetown,KY,40324,-84.56705744,38.22401623,35,CN DST Workshops,,,,,
1476,Second Baptist Church,Place of Worship,2023,,,6410 Woodway Dr.,Houston,TX,77057,-95.49778932,29.75582183,17,CN DST Workshops,,,,,
1477,Senior Citizens Center - Morristown,Senior Center,2025,,,841 Lincoln Ave.,Shelbyville,KY,37160,-86.4619256,35.4827142,49,CN DST Workshops,,,,,
1478,Senior Citizens of Campbell County ,Government,2025,,,102 S. 8th St.,Morristown,TN,37813,-83.277292,36.186565,102,CN DST Workshops,,,,,
1479,Senior Citizen's of Jellico,Senior Center,2025,,,289 Baker Street,Jellico,TN,37762,-84.12661868,36.58595912,15,CN DST Workshops,,,,,
1480,Senior Citizens of Northern Kentucky,Senior Center,2025,,,110 6th St,La Follette,TN,37766,-84.1179422,36.38467908,54,CN DST Workshops,,,,,
1481,Sevierville Senior Center,Senior Center,2024,,,1200 W Main Street,Sevierville,TN,37862,-83.5940867,35.87191237,38,CN DST Workshops,,,,,
1482,Shackleford County,Government ,2021,,,100 W 3rd St,Albany,TX,76430,-99.29369856,32.72696283,,Community Planning,https://connectednation.org/community-engagements/Shackleford-County-texas,,,,
1483,Shelby Area District Library,Public Library,2023,,,189 Maple St.,Shelby,MI,41501,-86.36230016,43.61200941,12,CN DST Workshops,,,,,
1484,Shelby County,Government ,2021,,,200 San Augustine Street,Center,TX,75935,-94.18168217,31.79310747,,Community Planning,https://connectednation.org/community-engagements/shelby-county-texas,,,,
1485,Shelby Valley Senior Center,Senior Center,2025,,,111 Douglas Parkway,Pikeville (Nelse),KY,40065,-82.53656079,37.37926081,36,CN DST Workshops,,,,,
1486,Shelbyville Community Action Counsel,Non-Profit,2024,,,07 Washington Street,Carrollton,KY,41008,-85.1560569,38.6778713,16,CN DST Workshops,,,,,
1487,Shelbyville Senior Citizens Center,Senior Center,2025,,,111 Jg Helton Dr.,Shelbyville,TN,41501,-86.42138772,35.48852253,,CN DST Workshops,,,,,
1488,Shenandoah Valley Workforce Development Board - Fishersville,Workforce Development,2025,,,1076 Jefferson Hwy.,Staunton  ,VA,24401,-78.9972376,38.1102834,21,CN DST Workshops,,,,,
1489,Shenandoah Valley Workforce Development Board - Winchester,Workforce Development,2025,,,609 D Cedar Creek Grade,Winchester,VA,22601,-78.18690705,39.16283062,18,CN DST Workshops,,,,,
1490,Shepherd's House,Rehabilitation Center,2024,,,454 South 3rd Street,Danville,KY,40422,-84.77294841,37.64008097,30,CN DST Workshops,,,,,
1491,Shepherd's House of Lexington,Rehabilitation Center,2025,,,635 Maxwellton Ct,Lexington,KY,40508,-84.50946613,38.03694233,20,CN DST Workshops,,,,,
1492,Shepherd's Shelter,Rehabilitation Center,2025,,,236 Bridgette Dr,Mt Sterling,KY,40353,-83.93105614,38.05216655,38,CN DST Workshops,,,,,
1493,Simpatico Cielo Vista Senior Living,Senior Center,"2024, 2025",,,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,117,CN DST Workshops,,,,,
1494,Smith County Senior Citizens Center,Senior Center,2025,,,120 Pauline Gore Way # B,Carthage,TN,37030,-85.97049807,36.2580672,102,CN DST Workshops,,,,,
1495,Somali Community of Louisville,Community Center,"2023, 2024,2025",,,5330 S 3rd St.,Louisville,KY,40214,-85.76897105,38.17022121,2747,Teens Teach Teach,,,,,
1496,South Granville Senior Center,Senior Center,2025,,,114 Douglas Dr.,Creedmoor,NC,27522,-78.6846139,36.12229944,,CN DST Workshops,,,,,
1497,South Knoxville Senior Center,Senior Center,"2024, 2025",12/09/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",6729 Martel Lane.,Knoxville,TN,37920,-83.93620582,35.88957128,6,CN DST Workshops,,,,,
1498,Spencer County Senior Citizen Center,Senior Center,2024,,,33 Creekside Drive,Taylorsville,KY,40071,-85.33612958,38.04085108,24,CN DST Workshops,,,,,
1499,St Clair Library System - Burtchville Branch,Public Library,2023,,,7093 Second Street,Lakeport,MI,48059,-82.49151548,43.11390572,12,CN DST Workshops,,,,,
