ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1069,Brewster County,Government ,2021,,,201 W Avenue E,Alpine,TX,79830,-103.6636646,30.35795033,,Community Planning,https://connectednation.org/community-engagements/Brewster-County-texas,,,,
1070,Buckeye Union High School FBLA,School Club,2024,,,1000 E Narramore Ave,Buckeye,AZ,85326,-112.5764573,33.37407375,41,Teens Teach Teach,,,,,
1071,Buffalo HS/ Dallas County Technical Center FBLA,School Club,"2024, 2025",,,"120 S Spruce St, Buffalo",Buffalo,MO,65622,-93.09782215,37.6429701,113,Teens Teach Teach,,,,,
1072,Building Promises (w/AUTMHQ),Non-Profit,2023,,,6633 E Highway 290,Austin,TX,78723,-97.69358183,30.32084009,8,CN DST Workshops,,,,,
1073,Burnet County,Government ,2021,,,220 S Pierce St,Burnet,TX,78611,-98.22638773,30.75714924,,Community Planning,https://connectednation.org/community-engagements/Burnet-County-texas,,,,
1074,Byrum Porter Senior Center,Senior Center,2025,,,9123 Hwy 49 E,Orlinda,TN,37141,-86.71571649,36.60142306,,CN DST Workshops,,,,,
1075,C5LA,Non-Profit,2024,,,"3100 N Broadway, Lincoln Heights",Los Angeles,CA,90031,-118.2088988,34.07370991,92,Teens Teach Teach,https://connectednation.org/blog/city-of-stem-la-maker-faire-hosts-over-30000-attendees-features-panel-from-teens-teach-tech-trainers-across-the-us,https://www.youtube.com/watch?v=peYFIY_YwXE&t=2080s,https://connectednation.org/press-releases/c5-youth-foundation-of-southern-california-lands-first-place-largest-cash-prize-at-the-national-kids-tech-summit,,
1076,Caldwell County,Government ,2021,,,110 S Main Street,Lockhart,TX,78644,-97.67232734,29.88426489,,Community Planning,https://connectednation.org/community-engagements/caldwell-county-texas,,,,
1077,Caldwell County Senior Center,Senior Center,2025,,,"200 Eagle Street Princeton, KY 42445",Princeton,KY,42445,-87.87873114,37.10806445,45,CN DST Workshops,,,,,
1078,Campbell County Senior Center,Senior Center,2025,,,"102 S 8th Lafollette, TN 37766",Lafollette,TN,37766,-84.0797537,36.38201,18,CN DST Workshops,,,,,
1079,Campbellsville-Taylor County CoC,Government,2023,,,1 University Drive (Campbellsville University),Campbellsville,KY,42718,-85.34865029,37.343992,31,CN DST Workshops,,,,,
1080,Capital City Activity Center,Non-Profit,2023,,,202 Medical Heights Dr,Frankfort,KY,40601,-84.90289532,38.15920978,126,CN DST Workshops,,,,,
1081,Cargivers on the Homefront ,Military / Veteran Family Support,2022,,,"12200 N. Ambassador Dr., Suite 232",Kansas City,MO,64163,-94.68298628,39.31466067,30,CN DST Workshops,,,,,
1082,Carroll County Senior Citizen Center,Senior Center,2024,,,110 6th Street,Carrollton,KY,41008,-85.17827286,38.68211925,28,CN DST Workshops,,,,,
1083,Carson City Senior Center,Senior Center,2025,,,911 Beverly Drive,Carson City,NV,89706,-119.7593603,39.17516421,,CN DST Workshops,,,,,
1084,Casa de Amigos,Community Center,"2023, 2025","11/10/2025, 11/11/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Video Conferencing",1101 Garden Lane,Midland,TX,79701,-102.0668097,32.0085207,17,CN DST Workshops,,,,,
1085,Casey County Senior Citizen Center,Senior Center,2024,,,85 Beldon Ave ,Liberty,KY,42539,-84.93975291,37.3162419,44,CN DST Workshops,,,,,
1086,CAST Tech HS,School,2025,,,637 N Main Ave,San Antonio,TX,78205,-98.49403188,29.4324889,,Teens Teach Teach,,,,,
1087,Castro County,Government ,2022,,,100 E Bedford St,Dimmitt,TX,79027,-102.3117698,34.55094233,,Community Planning,https://connectednation.org/community-engagements/Castro-County-texas,,,,
1088,Catlettsburg Senior Center,Senior Center,2024,,,3015 Louisa Road,Catlettsburg,KY,41129,-82.59823312,38.41410543,14,CN DST Workshops,,,,,
1089,Catoosa Public Library,Public Library,2024,,,105 E. Oak,Catoosa,OK,74015,-95.74620957,36.1851578,28,CN DST Workshops,,,,,
1090,Cedartown High School - FBLA,School Club,2024,,,167 Frank Lott Dr,Cedartown,GA,30125,-85.22125945,34.0194052,224,Teens Teach Teach,,,,,
1091,Centennial Library,Public Library,2023,,,2503 W Loop 250 N,Midland,TX,79705,-102.1170203,32.03650012,15,CN DST Workshops,,,,,
1092,Central High School,School,2025,,,550 Warrior Way,Grand Junction,CO,81504,-108.473236,39.0867555,29,Teens Teach Teach,,,,,
1093,Chad's Hope,Non-Profit,2024,,,300 Chad McWhorter Lane,Manchester,KY,40962,-83.84520458,37.3111064,30,CN DST Workshops,,,,,
1094,Chickasha Public Library,Public Library,2024,,,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,44,CN DST Workshops,,,,,
1095,Childress County,Government ,2022,,,100 Avenue E NW,Childress,TX,79201,-100.2054138,34.42566364,,Community Planning,https://connectednation.org/community-engagements/Childress-County-texas,,,,
1096,Christian County Senior Center,Senior Center,"2023, 2024",,,1402 West 7th Street ,Hopkinsville,KY,42240,-87.5026544,36.87550186,9,CN DST Workshops,,,,,
1097,Chrysalis House - Men Center,Rehabilitation Center,2025,,,1382 Bull Lea Road ,Lexington,KY,40511,-84.497938,38.0846616,26,CN DST Workshops,,,,,
1098,Chrysalis House - Women Center,Rehabilitation Center,2025,,,1589 Hill Rise Drive ,Lexington,KY,40504,-84.53054469,38.04711013,55,CN DST Workshops,,,,,
1099,Cibola high school,School,2025,,,4100 W 20th St,YUMA,AZ,85364,-114.6691708,32.69120526,7,Teens Teach Teach,,,,,
1100,Clark County Public Library ,Public Library,2023,,,370 S Burns Ave,Winchester,KY,40391,-84.1868176,37.98812936,8,CN DST Workshops,,,,,
1101,Clarksville Ajax Turner 50+ Center,Community Center,2025,,,953 Clark Street ,Clarksville,TN,37040,-87.34492719,36.52314681,39,CN DST Workshops,,,,,
